created_at,text
Thu Oct 31 16:00:00 +0000 2019,This holiday season ya girl is comin all the way through Im sharing my very own stylist with you so you BETTER GET READY I brought on Jahleel to create THREE  Xtra VIP Boxes  They drop 111 at MIDNIGHT EST only on  UXTRA 
Fri Oct 25 03:34:17 +0000 2019,over 1000 images 504 pages theRIHANNAbook is in stores today its crazy to look back at all of the memories amp be able to share these moments with you Get your copy wherever books are sold        
Thu Oct 24 01:07:04 +0000 2019,Thank you  for acknowledging our hard work and respecting the quality of what we produce This is such an incredible honor
Thu Oct 24 01:07:04 +0000 2019,Im incredibly proud of everyone whos been a part of the team and development of this brand Its been 5 months since we launched  and were nominated for the Urban Luxe category of the 2019 BritishFashionAwards 
Sat Oct 19 22:45:45 +0000 2019,"Gang Gang 
just me and my GlossyPosse   "
Sat Oct 19 01:00:54 +0000 2019,thank you  and  for my new fav song BestOnEarth 
Fri Oct 18 22:59:32 +0000 2019,Im just saying DIAMONDBOMB2 is sexy af  
Thu Oct 17 08:07:26 +0000 2019,Happy to announce that my book will be OUT 5 days early exclusively at  pick up your copy in store this Sat Oct 19th signed copies for the 1st in line or preorder on  by Sat to get it before the Oct 24th global release theRIHANNAbook 
Wed Oct 09 13:40:02 +0000 2019,"So proud to be on another cover of  wearing my own designs from   On stands October 16th 
Photographer  
Fashion Editor Tonne Goodman 
Hair 
Makeup Kanako Takase

 "
Mon Oct 07 14:59:37 +0000 2019,Over 5 years in the making happy to finally share this collection of incredible memories Thanks to all of the photographers amp artists that contributed amp to  for working with me to publish my first piece of art in a new industry preorder on   
Fri Oct 04 16:21:52 +0000 2019,I used to love getting my girls lipgloss sets for the holidays and now that I made one thats what theyre all getting this year dont  me 
Fri Oct 04 16:21:51 +0000 2019,"Meet my lil GLOSSYPOSSE  5 mini GLOSSBOMBS 
including the bestselling FUSSY and 4 brand new shades Confetti Pretty Please Hot Chocolit and Cheeky Available October 11th  "
Tue Oct 01 04:20:42 +0000 2019,"With every pink style purchased youll help the  fund critical research for this lesser known group of young women living with aggressive forms of breast cancer 

Read their stories and shop the collection NOW at  to join the fight  "
Tue Oct 01 04:20:40 +0000 2019,This October  and I are highlighting 4 of the strongest most badass and inspiring women we like to call our SAVAGEXTHRIVERS in support of breast cancer awareness month 
Thu Sep 26 14:07:54 +0000 2019,"Look of the week 
PARIS Got a new  pop up at  ChampsElysées open now thru Oct 12th Shop the latest 919 drop before its available online at  on Sept 26th "
Mon Sep 23 05:04:28 +0000 2019,be first to get some of these pieces from our savageXFentyshow at  exclusively on preorder  
Mon Sep 23 04:48:42 +0000 2019,"SAVAGEXFENTYSHOW 
This look styled by  available on   "
Mon Sep 23 02:33:36 +0000 2019,Thank yall SOOO MUCH for watching with me this was magical Love yall NAVY   SavageXFentySHOW
Mon Sep 23 02:32:14 +0000 2019,SavageXFentySHOW
Mon Sep 23 02:32:06 +0000 2019,While yall were performing I was exhalingI knew we made it I didnt care if this section suckedbut WOW we did it again 
Mon Sep 23 02:30:25 +0000 2019,"FINALEEEE 
Siiiisssss I know how quick you put this section together But you ATE this like everything you do Dancers on 1000"
Mon Sep 23 02:27:58 +0000 2019,Forgot how much I loved this song Fab Thank you man SavageXFentySHOW
Mon Sep 23 02:27:09 +0000 2019,LisssssSTEN  this chick  got next and yall know dat Dont  me SavageXFentySHOW
Mon Sep 23 02:25:02 +0000 2019,Fat Jooooeee We love you Thank you  SavageXFentySHOW
Mon Sep 23 02:24:16 +0000 2019,ALEKKKKK Diamond bomb to the the kitty Yassssss SavageXFentySHOW
Mon Sep 23 02:23:29 +0000 2019,Also my fav music and choreography Them chicks look like the lil villains from Mario and Luigi that you gotta jump on before they get you
Mon Sep 23 02:21:26 +0000 2019,"Im bout to block Bella 
SavageXFentySHOW"
Mon Sep 23 02:19:38 +0000 2019,AQUARIAAAAA You betta WEEEEERRQ  SavageXFentySHOW
Mon Sep 23 02:19:03 +0000 2019," betta act right up there Cause if I get another text from a cougar
SavageXFentySHOW"
Mon Sep 23 02:16:40 +0000 2019,"NORMANNIIIIII you bad BIH Ugh why cant I be you  thank you sooo much sis KILLED IT
SavageXFentySHOW"
Mon Sep 23 02:15:03 +0000 2019,WINDOWS was literally one of my favorite moments And this soooonnnnggg Brazilian music be so LIT  SavageXFentySHOW
Mon Sep 23 02:14:15 +0000 2019,Thank youuuuuu  SavageXFentySHOW 
Mon Sep 23 02:10:03 +0000 2019,I  the Migos Like my whole ghetto life was made right here bruh  SavageXFentySHOW
Mon Sep 23 02:08:57 +0000 2019,"I asked bro I want my mornings to start with this playlist EVERY DAY 
SavageXFentySHOW "
Mon Sep 23 02:07:49 +0000 2019,LAVEEERRRRNNNEEEE I rewound this part 100000000 times This woman is SMOOTH
Mon Sep 23 02:06:56 +0000 2019,Fun fact 21 Savage had chicken wings just before this walk My type of Savage tbh SavageXFentySHOW
Mon Sep 23 02:05:30 +0000 2019,"These chicks is baaaaaaaddddd I wanted to do this all green section too 
SavageXFentySHOW"
Mon Sep 23 02:04:32 +0000 2019,CARAAAAAAAAAAAAA
Mon Sep 23 02:04:11 +0000 2019,Iss me sis  
Mon Sep 23 02:02:37 +0000 2019,ALSO  one of the most underrated performers of our time man Hes a PRO SavageXFentySHOW
Mon Sep 23 02:01:35 +0000 2019,Fat but make it fashion popcornupdate SavageXFentySHOW 
Mon Sep 23 01:59:15 +0000 2019,"My favorite a thick badass chocolate woman opening a show at NY fashion week
SavageXFentySHOW"
Mon Sep 23 01:58:14 +0000 2019,Ahhhhh thank youuuu Miss the stage 
Mon Sep 23 01:56:37 +0000 2019,STIIILLLL 
Mon Sep 23 01:56:08 +0000 2019,Was sooooo nervous right here SavageXFentySHOW
Mon Sep 23 01:55:52 +0000 2019,"HERE WE GOOOOO 
SavageXFentySHOW"
Mon Sep 23 01:55:28 +0000 2019,"Looooovvvveee PARRISSS She so badass and cute get some riss rest
SavageXFentySHOW"
Mon Sep 23 01:54:09 +0000 2019,Look at Jahleel trying to get camera time and Jens laugh my goodness
Mon Sep 23 01:53:13 +0000 2019,Seeing the dancers response to the set when they first saw it is priceless SAVAGEXFENTYSHOW
Mon Sep 23 01:43:26 +0000 2019,Im so happy you guys got a glimpse into the design process and the BTD of the making of the show SAVAGEXFentyShow
Mon Sep 23 01:41:08 +0000 2019,"When you keep yourself up at night trying to figure out how to make history you not gonna make it 
SavageXFentyShow"
Mon Sep 23 01:39:49 +0000 2019,Jen literally hates seeing her self here lol savageXfentyshow
Mon Sep 23 01:38:00 +0000 2019,5432
Mon Sep 23 01:17:15 +0000 2019,"First up lets make some popcorn 

SAVAGEXFENTYSHOW"
Mon Sep 23 01:16:19 +0000 2019,When you overseas and dont know the time difference
Mon Sep 23 01:14:28 +0000 2019,"Im here yall LETS GOOOO

SavageXFentySHOW"
Sun Sep 22 18:43:37 +0000 2019,Thank you boo 
Sun Sep 22 18:32:24 +0000 2019,SAAAAAMMMMEE Thats the most exciting part I still aint TIIIDE 
Sun Sep 22 18:28:45 +0000 2019,"Have you seen the  show on  yet Yall wanna have a Twitter watch party with me  

Lets meet back up here tonight Sept 22nd at 9pm EST using the hashtag SAVAGEXFENTYSHOW Ill be live tweeting throughout it"
Fri Sep 20 15:12:31 +0000 2019,me after  show watch now on   
Fri Sep 20 06:35:49 +0000 2019,be the first to have this and more pieces from the  show now on  
Fri Sep 20 04:08:03 +0000 2019,We are LIVE I cant believe this is real amp its finally here for you to experience I couldnt be happier or more proud of everyone involved Watch it on  NOW at  amp shop the new  drop Hope you enjoy the show   SAVAGEXFENTYSHOW 
Fri Sep 20 03:58:43 +0000 2019,"yall are literally bout to witness why this woman right here is my spirit animal God gifted genius  love you  
SAVAGEXFENTYSHOW   "
Fri Sep 20 03:43:03 +0000 2019, show starts in 20 mins Get these and more at midnight on  TUNE IN on   
Thu Sep 19 22:06:30 +0000 2019,Im also giving you the exclusive opportunity to get some of these pieces first Im droppin TWO  Xtra VIP Boxes at midnight that I created just for this event Look out for them at  and I cant wait for you to see the show
Thu Sep 19 22:06:29 +0000 2019,TONIGHT IS THAT NIGHT SAVAGEXFENTYSHOW is showing at MIDNIGHT EST on   
Thu Sep 19 03:41:54 +0000 2019,bored as money  
Thu Sep 19 03:40:58 +0000 2019,"Thank you  for hosting me at the Shinsegae Myeongdong Store It was so exciting to see the new  store in person and I am grateful for our amazing partnership

FENTYBEAUTY shinsegaedutyfree "
Thu Sep 19 03:40:36 +0000 2019,To everyone who came to the beauty masterclass amp artistry talk you truly were an amazing crowd I really appreciate and enjoyed all of the questions you asked and all of the tips we shared Thank you for your continued support Excited to bring  to Seoul 
Tue Sep 17 21:03:25 +0000 2019,Strap in and get your TV ready 3 days til the SAVAGEXFENTYSHOW Get with your friends and watch it only on  this Friday SEPT 20th 
Tue Sep 17 05:27:18 +0000 2019,"NYC 
by diggzy "
Tue Sep 17 03:56:20 +0000 2019,"NYC 
 corsetboot in white rubberleather fusion "
Mon Sep 16 22:01:52 +0000 2019,also  
Mon Sep 16 21:49:31 +0000 2019,"NYC 
 corsetboot centerfoldSunglasses myFavoriteFentyPants "
Mon Sep 16 21:48:04 +0000 2019,"yall sick of me  
corsetboot favoriteFentypants grey "
Mon Sep 16 21:47:05 +0000 2019,"NYC

all about  wasabi leather this fall  diggzy "
Thu Sep 12 17:20:25 +0000 2019,me and  tonight when  hits the stage and  gon turn the function up sumn serious DIAMONDBALL 
Tue Sep 10 14:45:02 +0000 2019,and special appearances by       and SO many more Strap in and shop the  collection now at  and 
Tue Sep 10 14:45:00 +0000 2019,SAVAGEXFENTYSHOW SEPT 20TH You have no idea how crazy of a show is coming to   Performances by        amp  
Sun Sep 08 18:09:02 +0000 2019,"batmobile  but make it fashion

get into this matte leatherrubber fusion tho  "
Sun Sep 08 03:37:04 +0000 2019,You can donate and contribute to our mission simply by picking up these exclusive  pieces out now
Sun Sep 08 03:37:03 +0000 2019,Limited Edition SavageXCLF styles are out now at   I started  because I believe in people having a chance at a better life through health education and proactive measures to emergency response 
Thu Sep 05 14:59:54 +0000 2019,strapless bra by    Big up my girl  and  for the feature Literally just saw this in the middle of prep for our show September 20th on   made my day already 
Wed Sep 04 13:56:12 +0000 2019,I still cant believe this We lost a legend today man ripPeterLindbergh 
Tue Sep 03 00:50:48 +0000 2019,In Seoul you can find us in Duty Free locations at   and in Jeju at The Shilla DF  Cant wait to see your beautiful faces on Sept 17th at the beauty and artistry talk with fentybeauty Global Makeup Artists  and Hector Espinal
Tue Sep 03 00:50:47 +0000 2019,so proud to say that  is NOW available at Tmall Global and in Hong Kong amp Macau at T Galleria by    Beauty Bazaar amp Beauty Avenue 
Mon Sep 02 20:59:52 +0000 2019,You are in our prayers and  is already figuring out how best we can help HurricaneDorain Bahamas
Mon Sep 02 20:52:37 +0000 2019,It truly breaks my heart to see the complete devastation that HurricaneDorian is having on the Bahamas
Sun Sep 01 05:32:49 +0000 2019,NEW September  is OUT NOW at   Grab the newest looks and get ready for the SAVAGEXFENTYSHOW on  SEPT 20 
Fri Aug 30 02:36:48 +0000 2019,Vogue Hong Kong 
Fri Aug 30 02:36:00 +0000 2019,VogueHongKong On stands SEPT 1st  Photography hannamoon 
Fri Aug 30 02:29:33 +0000 2019,"Cover of  Hong Kong On stands SEPT 1st  

Photography HannaMoon
Fashion Director 
Hair  
Makeup KanakoTakase 
Nails MariaSalandra
Producer Alexis Piqueras 
Set Designer Gerard Santos "
Wed Aug 28 19:03:51 +0000 2019,"How Im walking into September The  819 Release is LIVE now on 

Visuals shot by the one of my personal favorites Lizjohnsonartur "
Mon Aug 26 15:06:34 +0000 2019,SEPTEMBER 20TH Get ready to watch this years SAVAGEXFENTYSHOW only on   We are working on creating the most bold sexy super energetic experience you can imagine  
Sun Aug 11 21:10:02 +0000 2019, its by far one of my proudest moments of a product to date No cap But youll see for yourself in a couple days cause PROFILTRHYDRATINGFOUNDATION will be available on AUGUST 15th at     and SephorainJCP
Sun Aug 11 21:10:01 +0000 2019,when the foundation takeova aint ova we back and badder than ever with a brand new delicious formula Meet the PRO FILTR HYDRATING Foundation and she comes in 50 shades  Im so hype that I dont have to hide this anymore 
Fri Aug 09 21:51:12 +0000 2019,
Sun Aug 04 17:37:18 +0000 2019, 
Wed Jul 31 15:08:21 +0000 2019,"Lavender leopard lace 
GET  INTO  IT All new  hits  at Midnight EST 81 tonight 
Shot by dennisleupold "
Wed Jul 31 15:07:03 +0000 2019,New August  drops MIDNIGHT TONIGHT only at   
Tue Jul 23 19:45:05 +0000 2019,almost drop my phone how 
Fri Jul 19 14:41:16 +0000 2019,Our 5th Annual DIAMONDBALL is just 2 months away Im so excited to announce our host   and for the main event the one and only  is performing To support the  ClaraLionelFoundation and learn more follow  CLF 
Fri Jul 19 02:45:41 +0000 2019, is coming to Hong Kong Macau Seoul and Jeju in September  
Fri Jul 19 00:04:02 +0000 2019,We will be available in Hong Kong amp Macau at T Galleria by    Beauty Bazaar and Beauty Avenue In Seoul you can find us in Duty Free locations at   and in Jeju at The Shilla DF newgenerationofbeauty
Fri Jul 19 00:04:01 +0000 2019,When I launched  in 2017 it was important to me to make sure it was available globally so everyone had access to it And now we are continuing to expand our Fenty Beauty family to Hong Kong Macau Seoul and Jeju in September 
Thu Jul 11 18:29:06 +0000 2019,"Nobody
Me Album coming in 2019
Navy in July "
Wed Jul 10 23:40:01 +0000 2019,when u ran outta towels 
Tue Jul 09 23:11:56 +0000 2019, coming through with this hair for harpersbazaarchina shot by  
Tue Jul 09 17:48:35 +0000 2019,HarpersBazaarChina by  
Tue Jul 09 17:39:43 +0000 2019,"HarpersBazaarChina  
shot by the lovely  "
Tue Jul 09 10:32:06 +0000 2019,"August Issue harpersbazaarCHINA on stands July 15th 
 
  
  
  
Chief Editors Simona Sha WeiTian
Visual Direction Xiaomu FAN "
Sat Jul 06 00:01:59 +0000 2019,
Tue Jul 02 01:56:21 +0000 2019,reppin  and the whole WestIndies 
Sun Jun 30 16:04:54 +0000 2019,"Military rulers need to be held accountable Praying for no more killings or abuse today

Fight for human rights in Africa and stand with protesters in Sudan 
BlueforSudan IAmSudaneseRevolution WatchSudanonJune30th 
 "
Sun Jun 30 16:04:52 +0000 2019,With more protests planned for today June 30 I send my  and I pray for the safety of the Sudanese people They have a right to speak out and demand peace justice and a transition to civilian rule Over 100 were killed amp hundreds more were wounded during the June 3rd protests 
Fri Jun 28 03:46:55 +0000 2019, 
Fri Jun 28 00:28:50 +0000 2019, 
Fri Jun 28 00:23:18 +0000 2019, 
Tue Jun 25 17:18:45 +0000 2019, 
Tue Jun 25 17:18:07 +0000 2019,"who are you wearing Ri
Me me

 "
Sat Jun 22 19:51:35 +0000 2019,hey   
Sat Jun 22 19:47:51 +0000 2019,the latest  release exclusively at TheWebster for 8 more days 29GreeneStreet 
