created_at,text
Sat Jul 04 21:08:52 +0000 2020,I love this feeling  
Sat Jul 04 18:08:19 +0000 2020,Grande vittoria Abbiamo bisogno di questo spirito FINO ALLA FINE  
Mon Jun 29 19:04:20 +0000 2020,What do you think about my look like my brother Panita   
Sat Jun 27 12:25:22 +0000 2020,Starting the weekend with a good vibe and a good style 
Fri Jun 26 22:24:38 +0000 2020,Vittoria importante Grandi ragazzi  finoallafine 
Thu Jun 25 18:22:44 +0000 2020,Enjoying this beautiful sunset  torino 
Sun Jun 21 19:21:09 +0000 2020,Never give up always focused on the next stepAll together  finoallafine 
Wed Jun 17 09:02:37 +0000 2020,"Nem quero acreditar que o meu menino já tem 10 anos Como o tempo passou e desde sempre foste motivo de orgulho do pai que tanto te ama
Muitos Parabéns Filhote Um dia Feliz Amote muito  "
Mon Jun 15 17:41:37 +0000 2020,Get some Vitamin D  
Fri Jun 12 13:41:47 +0000 2020,Wherever you are well always be together FinoAllaFine ForzaJuve 
Thu Jun 11 13:25:12 +0000 2020,Have a nice day  thursdaystyle 
Mon Jun 08 11:12:52 +0000 2020,Monday motivation The Competition is coming  
Fri Jun 05 18:01:52 +0000 2020,"Lets rise to the challenge What are you doing to ComeBackStronger Take part in the ClearResilienceChallenge at 
KeepaClearHead MentalHealthMatters "
Fri Jun 05 10:17:27 +0000 2020,Happy Birthday to my two sweeties Eva and Mateo  We love you to the end of the world prouddad 
Wed Jun 03 11:32:53 +0000 2020,I fall in love every time I see these two dadysgirls 
Thu May 28 16:10:09 +0000 2020,Family Bike Ride  
Tue May 26 16:51:26 +0000 2020,Approved   
Fri May 22 15:48:48 +0000 2020,Work hard play hard  
Tue May 19 17:40:14 +0000 2020,"When we become patient and consistent we find the way to get through the difficulties 
backontrack beresponsible "
Sat May 16 17:10:35 +0000 2020,Our health is the most important thing we have  How are you practicing good fitness and nutrition habits  Nutrition 
Fri May 15 08:00:00 +0000 2020,"Home workout with EMS training gear SIXPAD Stay Fit and Stay Positive


SIXPAD traininggear Homeworkout stayfit "
Sat May 09 18:48:20 +0000 2020,Well done my friend  
Thu May 07 16:24:11 +0000 2020,The greatest love  
Tue May 05 17:04:29 +0000 2020,Well be back  family madeiraisland 
Fri May 01 12:00:00 +0000 2020,Today is day 1 of Clears 14 day resilience challenge to ComeBackStronger Follow  over the next two weeks for skills hacks and tips on how to build your resilience   KeepaClearHead MentalHealthMatters 
Tue Apr 28 11:00:01 +0000 2020,These are challenging times Lets make sure we stay on top of our game so we can all comebackstronger Be part of the Clear 14 Days Resilience Challenge from May 1st at   I know I will keepaclearhead resilience mentalhealthmatters 
Mon Apr 27 12:15:27 +0000 2020,Morning workout with a cycling sessionthese wheels are on fire   
Sat Apr 25 11:41:16 +0000 2020,Keep strong guys Lets go  stayactive 
Mon Apr 20 18:20:36 +0000 2020,Workout to improve mind and body stayactive 
Sat Apr 18 12:02:57 +0000 2020,The best way to start the day  
Fri Apr 17 18:17:09 +0000 2020,Like father like son  siiiimmmmm 
Wed Apr 15 19:10:38 +0000 2020,Always challenge yourself For me its time to study  
Sun Apr 12 13:39:28 +0000 2020,"We wish a Happy Easter to everyone 
stayhome "
Sat Apr 11 09:15:41 +0000 2020,Another week of playing inside and staying active Thanks to everyone for trying to beat me  maybe next time Over to you   Get ready livingroomcup playinside 
Fri Apr 10 19:09:20 +0000 2020,In this very difficult moment for our world it is important we unite and support each other Lets all do what we can to help beyondthemask nevergiveup 
Sat Apr 04 12:43:05 +0000 2020,Stay home and keep stylish  stayhomestaysafe 
Wed Apr 01 11:23:13 +0000 2020,Breathe in breathe out Stay active stayhomesavelives 
Mon Mar 30 13:02:41 +0000 2020,In this difficult moment for the whole world lets be thankful for the things that matter  our health our family our loved ones Stay home and lets help all the health workers out there fighting to save lives stayhomesavelives 
Sat Mar 21 14:01:09 +0000 2020,"If you ever dreamed of playing for millions around the world now is your chance Play inside play for the world
staysafe playinside playfortheworld "
Fri Mar 20 19:30:58 +0000 2020,Hi guys just a little message and reminder of the steps we must all follow to protect ourselves and our loved ones Please stay safe stayhome staysafe 
Fri Mar 13 16:10:20 +0000 2020,For information  
Mon Mar 09 10:08:10 +0000 2020,"So proud to reach 1000 official games in my career with a very important victory that put us on the top of the table again
Thank you to all my teammates coaches my family amp friends and to my fans that helped me to reach this great achievement "
Tue Mar 03 18:57:21 +0000 2020,Thank you for all your messages of support for my mum She is currently stable and recovering in hospital Me and my family would like to thank the medical team looking after her and kindly ask that we are all given some privacy at this time
Fri Feb 28 20:54:29 +0000 2020,Stay focused on your goals  
Tue Feb 25 17:06:48 +0000 2020,Always on my mind see you tomorrow UCL forzajuve 
Sat Feb 22 20:24:07 +0000 2020,"3 more important points
Now lets focus on UCL game
finoallafine forzajuve "
Fri Feb 21 12:24:25 +0000 2020,"My new Mercurial Dream Speed is here and they make me feel like I can move at the speed of light 
So excited to see     Wu Lei  all illuminate their games on pitch with it 
You can shop today at  "
Mon Feb 17 18:51:33 +0000 2020,Ice recovery   
Fri Feb 14 15:12:04 +0000 2020,Familys lunch  
Mon Feb 10 17:27:05 +0000 2020,No excuses  
Sun Feb 02 14:36:10 +0000 2020,"Good to get back to victories and happy to score again in our stadium
Proud to reach 50 goals with the bianconeri shirt
finoallafine forzajuve "
Thu Jan 30 17:09:01 +0000 2020,The games start to win during the week focus hardwork finoallafine 
Mon Jan 27 15:48:34 +0000 2020,Felicidades mi amor Te deseo un día muy lindo Eres una gran mujer y una excelente madre para nuestros hijos Te quiero mucho cariño 
Sun Jan 26 23:40:28 +0000 2020,So sad to hear the heartbreaking news of the deaths of Kobe and his daughter Gianna Kobe was a true legend and inspiration to so many Sending my condolences to his family and friends and the families of all who lost their lives in the crash RIP Legend 
Mon Jan 20 18:02:25 +0000 2020,Charging 
Sun Jan 19 23:30:50 +0000 2020,"Happy to score again today

3 important points
finoallafine forzajuve "
Sat Jan 11 17:14:52 +0000 2020,
Mon Jan 06 17:10:57 +0000 2020,"Amazing feeling to kick off 2020 with a hattrick and a victory
finoallafine forzajuve "
Fri Jan 03 17:58:32 +0000 2020,"New year the same motivation 
forzajuve finoallafine "
Wed Jan 01 17:54:42 +0000 2020,Feliz Ano meu Amor Que 2020 seja um ano repleto de amor saúde paz e sucesso para todos Happy New Year to all 
Mon Dec 30 12:03:41 +0000 2019,Always with me  
Sun Dec 29 20:25:24 +0000 2019,Honored to received one more time Globe Soccer Award A very emotional moment for me to share this award with my family Grateful for all the hospitality see you soon Dubai 
Fri Dec 27 18:37:37 +0000 2019,You always make me feel so special  
Fri Dec 27 12:09:03 +0000 2019,Teaching  how to jump Was a pleasure to see you and train with you my friend 
Fri Dec 27 11:57:58 +0000 2019,Teaching   how to jump Was a pleasure to see you and train with you my friend 
Thu Dec 26 14:53:30 +0000 2019,Workout in the pool  
Wed Dec 18 23:16:33 +0000 2019,"CR7 AIR JORDAN
forzajuve finoallafine "
Sun Dec 15 17:39:35 +0000 2019,"Great victory today with a strong perfomance from the team
forzajuve finoallafine "
Wed Dec 11 23:01:39 +0000 2019,Good way to end our  group stage See you in February  championsleague forzajuve finoallafine 
Tue Dec 10 17:18:31 +0000 2019,How can i not  fall in love with my sweet princess    
Sun Dec 08 11:25:16 +0000 2019,Keep strong and together until the end finoallafine  
Wed Dec 04 17:10:52 +0000 2019,Positive vibes 
Wed Dec 04 11:37:30 +0000 2019,
Mon Nov 25 17:03:46 +0000 2019,Im back  Juventus finoallafine 
Sat Nov 23 19:04:46 +0000 2019,"Gran Carattere bravi ragazzi
finoallafine forzajuve "
Fri Nov 22 17:11:54 +0000 2019,Focused on my recovery to come back soon 
Fri Nov 15 16:21:51 +0000 2019,Love this feeling  
Thu Nov 14 22:42:17 +0000 2019,"Boa vitória equipa 
Estamos a um passo do apuramento 
todosporportugal "
Tue Nov 12 19:15:57 +0000 2019,Feliz aniversário meu amor 
Mon Nov 11 11:13:38 +0000 2019,"Partita difficile vittoria importante
finoallafine "
Thu Nov 07 12:08:35 +0000 2019,"Were on the ucl last 16
Bravi Ragazzi
finoallafine "
Tue Nov 05 14:54:13 +0000 2019,Champions League here we go again 
Sun Nov 03 20:29:17 +0000 2019,The Show started with Love 
Thu Oct 31 13:52:39 +0000 2019,Happy Halloween everyone  
Wed Oct 30 22:38:45 +0000 2019,finoallafine  
Sun Oct 27 11:41:29 +0000 2019, Be careful we are here   
Mon Oct 21 17:08:12 +0000 2019,Confident for tomorrow  ucl liveahead finoallafine forzajuve 
Thu Oct 17 18:08:25 +0000 2019,Cold days ask for good quality footwear Check our CR7 FallWinter collection PLAYFECTIONISM CR7fw19 CR7 
Wed Oct 16 17:53:36 +0000 2019,Back on track 
Mon Oct 14 10:13:04 +0000 2019,Ready for today   todosportugal 
Sun Oct 13 12:17:00 +0000 2019,"Madeira Island is nominated for the 5th time the best island in the world Lets vote Siiiiiiiii
Place your vote at  VisitMadeira MadeiraNoWordsNeeded TheBestIslandInTheWorld
 "
Sat Oct 12 13:10:43 +0000 2019,Feliz por ter marcado num estádio especial para mim e ter contribuído para uma vitória que nos coloca mais perto do nosso objetivo   
Thu Oct 10 17:30:35 +0000 2019,Focado no jogo de amanhã   
Tue Oct 08 13:37:58 +0000 2019,É sempre uma grande felicidade estar de volta ao meu país representar a seleção nacional e rever amigos de tantas batalhas Todos juntos lutaremos uma vez mais para erguer bem alto o nome de Portugal Vamos equipa   
Mon Oct 07 10:26:38 +0000 2019,"Very strong performance by the team 
Great feeling to be on the top of the table again
finoallafine forzajuve liveahead "
Sat Oct 05 14:13:45 +0000 2019,Best way to start my weekend  
Wed Oct 02 09:50:49 +0000 2019,"3 important points
Well done team 
finoallafine forzajuve liveahead "
Mon Sep 30 18:00:02 +0000 2019,Champions League is back See you tomorrow   
Mon Sep 30 07:28:44 +0000 2019,"Ive achieved so much wearing Mercurial boots Now I am excited to see you all follow your dreams in my new Mercurial Dream Speed 
Available today at  "
Sat Sep 28 21:07:13 +0000 2019,"Felice per il gol e la solida prestazione della squadra 
finoallafine forzajuve liveAhead "
Fri Sep 27 09:32:30 +0000 2019,Work done  
Tue Sep 24 11:44:16 +0000 2019,Paciência e persistência são duas características que diferenciam o profissional do amador Tudo o que hoje é grande um dia começou pequeno Você não pode fazer tudo mas faça tudo o que puder para transformar seus sonhos em realidade LR 
Thu Sep 19 11:24:56 +0000 2019,We will keep working hard to achieve our goals finoallafine 
Tue Sep 17 20:02:40 +0000 2019,Probably one of the most revealing interviews I ever did Thanks  for the interview 
Tue Sep 17 17:41:57 +0000 2019,Were ready for UCL   finoallafineforzajuventus liveahead 
Mon Sep 16 07:00:37 +0000 2019,"Combining gym with SIXPAD helps me a lot EMS technology will surprise you
  SIXPAD traininggear "
Sun Sep 15 18:36:20 +0000 2019,Domingo em família  
Fri Sep 13 16:42:50 +0000 2019,Smeling good with my new fragrance and looking great with you on my side georgina  
Fri Sep 13 09:01:58 +0000 2019,Im ready to Play It Cool Are you CR7PlayItCool 
Wed Sep 11 18:27:47 +0000 2019,I love this feeling  93 
Wed Sep 11 07:38:53 +0000 2019,Feliz por marcar o segundo poker ao serviço da Seleção e ter contribuído para mais uma vitória rumo ao nosso objetivo 
Fri Sep 06 18:19:12 +0000 2019,Ready for tomorrow  
Tue Sep 03 14:22:26 +0000 2019,É sempre um prazer voltar à seleção e representar Portugal 
Sun Sep 01 10:52:55 +0000 2019,Happy Sunday  
Thu Aug 29 18:15:14 +0000 2019,Going back home 
Thu Aug 29 08:02:44 +0000 2019, olha aí os Reis do espadachim  
Wed Aug 28 19:00:01 +0000 2019,No doubts in your mind no dandruff on your head keepaCLEARhead ClearMen NoDoubts NoDandruff MenShampoo 
Wed Aug 28 15:05:50 +0000 2019,El otro día estuve en  y fue un placer hablar con todo el equipo en el cual confío Si sufres de alopecia comprueba el gran trabajo que podemos hacer por ti Entra en  y pide tu consulta gratuita Yo confío en Insparyaconfía tu también 
Sat Aug 24 19:22:32 +0000 2019,Great to start the season with three points forzajuve liveahead finoallafine 
Thu Aug 22 17:22:15 +0000 2019,The Amazon Rainforest produces more than 20 of the worlds oxygen and its been burning for the past 3 weeks Its our responsibility to help to save our planet prayforamazonia 
Mon Aug 19 19:20:35 +0000 2019,Back on track and focused on the first game of the season  
Sat Aug 10 19:49:59 +0000 2019,Feeling good and keep working 
Fri Aug 09 18:02:36 +0000 2019,Were already in Sweden for tomorrows game  
Fri Aug 02 15:33:00 +0000 2019,NovaFotoDoPerfil 
Fri Aug 02 15:00:00 +0000 2019,"Speed you can barely see 
Check out my latest  Mercurial  available today at 
Mercurial "
Thu Aug 01 14:25:52 +0000 2019,Eyes on the ball   
Wed Jul 31 11:46:14 +0000 2019,"There is only one shampoo for me
 ClearMen KeepAClearHead
NoDandruff ClearHairCare Menshampoo "
Tue Jul 30 20:03:10 +0000 2019,Happiness  Back To Training 
Tue Jul 30 11:54:48 +0000 2019,Abt last night  
Mon Jul 29 17:58:00 +0000 2019,Muy contento y honrado por ganar este premio  Leyenda Gracias a todos los que me han ayudado y a los que me siguen ayudando en mi carrera 
Thu Jul 25 13:58:22 +0000 2019,   
Tue Jul 23 17:25:51 +0000 2019,Always a pleasure to see you China   
Sun Jul 21 15:31:10 +0000 2019,Happy to be back finoallafine 
Sat Jul 20 18:06:28 +0000 2019,Recovery session  
Fri Jul 19 15:22:04 +0000 2019,Lets go 
Thu Jul 18 15:46:14 +0000 2019,Chá das cinco   
Wed Jul 17 08:04:44 +0000 2019,"Inspired by my friends in China This one is for the commanders of the pitch Shuai
Available today on  "
Tue Jul 16 09:27:07 +0000 2019,"Light up your body this summer with the brand new High Summer CR7Underwear collection
 "
Mon Jul 15 19:45:24 +0000 2019,How great it is to arrive at home after a day of hard work and be with my lovely family  
Sun Jul 14 20:09:59 +0000 2019,Work done  
Sat Jul 13 19:55:20 +0000 2019,   
Sat Jul 13 13:37:50 +0000 2019,Felice di tornare al lavoro e vedere i miei compagni di squadra  finoallafine forzajuve 
Fri Jul 12 18:04:38 +0000 2019,  a sua poker face vale tudo 
Mon Jul 08 10:47:26 +0000 2019,Sempre bom passar uns dias na minha linda ilha Ate breve Madeira 
Sat Jul 06 10:18:48 +0000 2019,"New Mercs 
Excited for the season ahead in my new  Mercurial Available tomorrow at  CR7 NikeFootball Nike Mercurial "
Thu Jul 04 08:20:05 +0000 2019,It was a fun time meeting these kids at the Singapore Olympic Foundation  Peter Lim Scholarship event Follow your dreams and never give up 
Mon Jul 01 21:49:14 +0000 2019,Lets go guys 
Thu Jun 27 21:03:08 +0000 2019,
Tue Jun 25 12:59:12 +0000 2019,Enjoying the vacation  
Sun Jun 23 12:37:46 +0000 2019,"Holidays with my family in France Riviera
Enjoy the views  "
Wed Jun 19 10:14:52 +0000 2019,lets go   
Mon Jun 17 08:52:46 +0000 2019,"Muitos parabéns filho 
Que continues a ser o lindo menino que tens sido até hoje o papá tem muito orgulho em ti 
Que tenhas um dia muito feliz 
O papá amate muito  "
Wed Jun 12 09:22:02 +0000 2019,Em breve estará no meu Museu  And still 
Tue Jun 11 11:01:10 +0000 2019,Champ Champ  
Mon Jun 10 11:38:53 +0000 2019,Bom dia  depois de conquistar a super copa de Itália campeonato italiano não poderia haver melhor maneira de terminar a época com a conquista da UefaNationsLeague  21 triplete  
Mon Jun 10 09:09:41 +0000 2019,3 times in a row 
Thu Jun 06 18:01:52 +0000 2019,After 90 minutes of intense exercise theres allways a chance for a final punchline Ending big is allways the best way to close the show  
Wed Jun 05 21:48:08 +0000 2019,Muito feliz por ajudar Portugal a chegar à final da Liga das Nações Parabéns malta Obrigado ao público português pelo apoio fantástico Força   
Wed Jun 05 11:22:33 +0000 2019,Parabéns amores do papa Pena não poder estar aí com vocês neste dia tão especial Mas a mamã está convosco Sejam sempre muito felizes Amovos muito 
Mon Jun 03 14:14:19 +0000 2019,Espírito de equipa tudoporportugal 
Sat Jun 01 17:27:48 +0000 2019,Aiming for success traditionalaccessories belt cr7footwear 
Sat Jun 01 12:01:55 +0000 2019,"A great adventure with a lot of friends 
  you dance amigo 
  the rally maestro
 Anda panda 
Enjoy  fiber "
Thu May 30 18:51:41 +0000 2019,I made a new friend while shooting the new  TV commercial  
Thu May 30 11:35:57 +0000 2019,É sempre um prazer estar de volta ao meu país Força Portugal 
Tue May 28 17:45:00 +0000 2019,Amazing residential destination in Dubai bringing together traditional design with a modern twist  MJLiving 
Mon May 27 22:29:47 +0000 2019,Partita del cuore 2019  orgoglio 
Mon May 27 18:08:28 +0000 2019,
Thu May 23 18:27:17 +0000 2019,Always nice to see you Bro  
Mon May 20 17:26:15 +0000 2019,"Campeão em Inglaterra Espanha e Itália Melhor Jogador em Inglaterra Espanha e Itália Não há limites para as conquistas quando o sonho se mantém vivo a cada dia que passa

Fino Alla Fine  "
Mon May 20 14:02:57 +0000 2019,Its always good to share these beautiful moments with my loves  
Sun May 19 22:27:19 +0000 2019,Very happy to win the second trophie for  and my first Serie A championship finoallafine 
Sat May 18 16:53:25 +0000 2019,Grazie mister Abbiamo vissuto un solo anno insieme ma è stato eccezionale perché oltre a essere un grande allenatore sei un grande uomo È stato un piacere lavorare con te 
Thu May 16 15:42:48 +0000 2019,Winning team 
Fri May 10 11:00:24 +0000 2019,I never hit the gym or the field without my essentials  
