created_at,text
Mon Jun 01 18:36:43 +0000 2020,Its PrideMonth The protests that came before me allowed me to be the out successful person I am I support the protestors demanding change now We can do better and Im starting with myself Im committed to using my platform to effect change BlackLivesMatter
Sun May 31 22:18:22 +0000 2020,"I am making a donation to the George Floyd Memorial Fund the   and the  in support of them and I hope you will join me if you are able 

BlackLivesMatter"
Sun May 31 22:18:11 +0000 2020,"I support the protestors who are exercising their rights and standing up against the horrible injustices that Black people in America face everyday

BlackLivesMatter"
Fri May 29 23:08:51 +0000 2020,From my dear friend  
Fri May 29 03:05:27 +0000 2020,   
Fri May 29 00:30:11 +0000 2020, Cant wait
Thu May 28 22:09:25 +0000 2020,The most adorable EdbyEllen model 
Thu May 28 21:23:00 +0000 2020, Thanks for doing this for us I cant wait to share it
Thu May 28 21:11:27 +0000 2020, wont let quarantine stop her from providing us with ridiculous beauty tips 
Thu May 28 19:10:05 +0000 2020,Who let the cows in Who 
Thu May 28 17:37:37 +0000 2020,James Marsden is here to tell us about his fairy godmother Julia Roberts 
Wed May 27 21:45:35 +0000 2020,The LA Regional Food Bank is incredible Theyre helping so many families in need right now 
Wed May 27 21:05:26 +0000 2020,Jennifer Aniston come over and watch a Friends marathon with me  is here
Wed May 27 19:20:12 +0000 2020,A brandnew episode of momsplaining is here with the bells of the ball   and  Watch more on  today ThanksSponsor 
Wed May 27 18:14:58 +0000 2020,Happy BikeMonth It should also be Helmet Month 
Wed May 27 17:01:48 +0000 2020, recovered from his eye surgery and the first thing he wanted to see was me 
Wed May 27 02:31:07 +0000 2020,Listen to the voices of the people closest to a tragedy then use your voice to lift theirs GeorgeFloyd SayHisName
Tue May 26 22:58:00 +0000 2020,You answered WhatImDoingFirst after the quarantine and these were too good not to read on TV 
Tue May 26 20:41:11 +0000 2020,Who doesnt love a TikTokTuesday starring Will Smith   and  
Tue May 26 19:21:49 +0000 2020,Theres nothing better than starting your week on a Tuesday with a laugh from the spectacularly hilarious  
Tue May 26 16:54:56 +0000 2020,If you havent seen  videos on the internet you need to 
Mon May 25 22:12:44 +0000 2020,Cute cute cute cute cute 
Mon May 25 21:13:26 +0000 2020,My staff has a lot of beautiful additions to their families Clearly they had to be rated EllenRateMyBaby 
Mon May 25 19:51:02 +0000 2020, You are brilliant and hilarious You are brilliantly hilarious
Mon May 25 18:04:56 +0000 2020,Youd think  would be the best quarantine companion His family thinks otherwise 
Mon May 25 00:14:45 +0000 2020,Wow The season finale of LittleBigShots is tonight 
Sun May 24 20:54:28 +0000 2020,Its NationalBrothersDay It also happens to be Tiara Day and Asparagus Day What a lucky coincidence that I have this photo 
Sun May 24 13:46:09 +0000 2020,I asked  YouTuber amp host of  Craftopia to share some stories behind her most interesting Instagram photos 
Sat May 23 15:51:19 +0000 2020, and  make the perfect internet cooking duo OMK 
Fri May 22 22:42:40 +0000 2020,From 521525 25 of the proceeds from ED by Ellen will be donated to Disabled American Veterans Thank you for your service  
Fri May 22 21:10:43 +0000 2020,If you want an enormous tattoo of my face you can only get it from the best Thanks  
Fri May 22 19:51:21 +0000 2020,Well this is just adorable and beautiful at the same time Dont miss backtoback episodes of LittleBigShots for the finale on Sunday 
Fri May 22 19:07:16 +0000 2020,I played SpilltheTea with some of my staffers and I learned some things I can never unlearn 
Fri May 22 17:59:38 +0000 2020,My summer BEKIND box is here And it BE FULL of wonderful things 
Fri May 22 16:00:57 +0000 2020, is out of retirement thanks to an influential friend of his  
Thu May 21 23:44:29 +0000 2020,My staff members Jeannie and Rico are spreading some love and positivity to people who could use it for our new series HeartsUpLive 
