created_at,text
Fri May 22 03:01:06 +0000 2020,this isn t real but fuck me i love it so much  i love u  u incredible  unstoppable woman    one hour    rainonme
Fri May 22 01:00:08 +0000 2020,three hrs  rainonme
Fri May 22 00:04:37 +0000 2020,four
Thu May 21 23:46:48 +0000 2020,always
Thu May 21 23:00:28 +0000 2020,five hours    rainonme
Thu May 21 21:10:34 +0000 2020,gotta live my truth not keep it bottled in  so i don t lose my mind         seven hrs  rainonme
Thu May 21 19:16:51 +0000 2020,thank u pop   dancing queen mama
Thu May 21 19:00:30 +0000 2020,nine hrs    rainonme
Thu May 21 18:36:50 +0000 2020,woaaah
Thu May 21 18:11:34 +0000 2020,i love u so much more  nothing could stop us before either  we just had to realize it   i m so excited    thank u  i m ready  rainonme
Thu May 21 17:17:26 +0000 2020,"tonight  
rain on me"
Wed May 20 21:26:48 +0000 2020,love u
Tue May 19 06:53:47 +0000 2020,u really have no idea
Tue May 19 06:52:42 +0000 2020,"really means a lot to me 
love u all more than u know"
Tue May 19 06:50:41 +0000 2020,love  amp  appreciate u so so much my angel friend
Mon May 18 16:00:51 +0000 2020,"teardrops on my face  
rain on me 5 22"
Sun May 17 19:42:55 +0000 2020,love u most
Fri May 15 21:31:37 +0000 2020,rain on me   may 22
Thu May 14 20:57:18 +0000 2020,limited amount of signed singles by me  amp  justin   available til midnight
Wed May 13 22:58:11 +0000 2020,HAHAHAHAHAHAHAH
Wed May 13 22:53:15 +0000 2020,jesus christ
Wed May 13 20:40:15 +0000 2020,hello same
Wed May 13 20:34:32 +0000 2020,don t get me wrong  it is so much fun to watch u all fight for it and i appreciate u sm  u are the fiercest angels alive  i just had to share  it was weighing on me and i appreciate u listening  i will never play dirty  i don t enjoy the game  however  i don t want to let u down
Wed May 13 18:01:10 +0000 2020,love u most
Wed May 13 17:41:15 +0000 2020,thank u for your kindness and for nerding out over music with me  i had the best time   love u  amp  thank u
Wed May 13 17:39:08 +0000 2020,the biggest stan  love u always
Wed May 13 00:10:26 +0000 2020,love u my gill
Tue May 12 23:14:15 +0000 2020,my heart is quite full  a huge thank u to everybody that s been loving  streaming  buying  dancing to  supporting  stuckwithu all week  we love uuuu
Tue May 12 22:46:47 +0000 2020,stuckwithu
Tue May 12 19:24:13 +0000 2020,spoke to   about  stuckwithu  amp  much more music   airing tomorrow 9am pst on
Mon May 11 22:07:29 +0000 2020,werk  i m in and more than happy to match the amount      stuckwithu
Sun May 10 22:27:56 +0000 2020,mothersonthefrontline  firstrespondersstrong
Sun May 10 21:50:06 +0000 2020,studio boy  vocalproductionbymyron  stuckwithu
Sun May 10 16:38:34 +0000 2020,"everything   
i love u forever"
Sat May 09 22:47:23 +0000 2020,miss u
Sat May 09 18:29:44 +0000 2020,that s why when the suns up i m stayin
Sat May 09 18:27:18 +0000 2020,my heart
Sat May 09 18:21:57 +0000 2020,stuckwithu new edit coming   we love u
Fri May 08 20:43:02 +0000 2020,stuckwithu song and video out now   thank u for being a part of this
Fri May 08 04:02:18 +0000 2020,"stuckwithu out now    
proceeds to benefit   
thank u"
Fri May 08 03:40:22 +0000 2020,love u more i promise
Fri May 08 03:38:59 +0000 2020,mamaaaaaaaaaaaaa
Fri May 08 03:30:40 +0000 2020,missed moments like these with u all  love u so much  hope u enjoy
Fri May 08 03:18:40 +0000 2020,me too   it has been a long time comin and i m so glad we waited so patiently for this  it feels so special  love u  my friend   stuckwithu 1 hour
Fri May 08 03:02:19 +0000 2020,one hour    stuckwithu
Fri May 08 02:37:15 +0000 2020,u will see many many loved ones  you ll have to be on the lookout   it makes me heart sing   stuckwithu
Fri May 08 02:34:34 +0000 2020,screaming yes
Fri May 08 02:29:09 +0000 2020,k chill i m crying
Fri May 08 02:26:43 +0000 2020,please everyone hold me i had no idea they were adding Liana s little house artwork to the hashtag and i am very excited about this  stuckwithu
Fri May 08 01:15:19 +0000 2020,three hours  stuckwithu
Fri May 08 01:14:26 +0000 2020,screamin  love u more
Thu May 07 21:11:37 +0000 2020,y all are so cuuuuuute
Thu May 07 20:51:19 +0000 2020,soon yes  all in support of
Thu May 07 20:32:05 +0000 2020,i am very glad someone is laughing   the fucking heart attacks i had over this
Thu May 07 20:30:26 +0000 2020,"for the record  i did not allow or approve this clip to be in the actual video  but  nonetheless  it exists and that s   unique  
anyway  7 5 hours"
Thu May 07 20:02:58 +0000 2020,eight hrs    stuckwithu
Thu May 07 20:01:45 +0000 2020,i love that one the most
Thu May 07 20:01:03 +0000 2020,excited for everybody to see the video too   u and rory did such a beautiful job man
Thu May 07 19:58:33 +0000 2020,still love this one   love u
Thu May 07 19:58:17 +0000 2020,your love is just enough   regarding anything i do   promise  the rest is just icing
Thu May 07 19:29:17 +0000 2020,close     not really no
Thu May 07 19:26:09 +0000 2020,ever
Thu May 07 16:59:24 +0000 2020,oh how i ve misssssed them and u   stuckwithu 11 hours
Thu May 07 16:56:32 +0000 2020,happy  stuckwithu day everyone   it s actually not possible for me to love this song any more than i do  i m so so excited for u to hear  love u
Thu May 07 16:52:30 +0000 2020,love u
Thu May 07 16:44:54 +0000 2020,tonight    stuckwithu
Tue May 05 17:00:20 +0000 2020,three days  stuckwithu
Mon May 04 17:37:21 +0000 2020,four days    stuckwithu
Sun May 03 01:52:46 +0000 2020,love u
Sun May 03 01:50:44 +0000 2020,very obsessed with everyone s  StuckwithU videos  seriously the sweetest  thank u so much for sharing these moments with us and bringing so much more life and love to this  it feels so special  so excited for u all to see the final product and of course hear the song
Sun May 03 01:40:59 +0000 2020,thank u guys   love u always
Fri May 01 20:20:11 +0000 2020,please use this instrumental  amp  send us videos of u being your beautiful selves  dancing with your loved ones  pets  whatever   whoever brings u comfort during this quarantine  even if it s just u alone  that s beautiful too  to be a part of  StuckWithU
Fri May 01 17:00:56 +0000 2020,stuck with u by me and   out may 8th  head to my instagram for more info  thank u to   and   for making this possible   presave here
Fri May 01 16:20:41 +0000 2020,with covid 19  texts into crisis text line are up 40  the mental health fund supports orgs meeting the increased demand by offering crisis intervention via text in the usa  canada  uk  and ireland
Fri May 01 16:20:10 +0000 2020,covid tech connect is finding smart devices and getting them in the hands of hospital workers to connect covid 19 patients with their families who are unable to visit
Fri May 01 16:19:10 +0000 2020,fund for families benefits organizations on the us mexico border supporting minors and families in shelters with food  medical supplies  toilet paper  soap  and protective gear to help stop the spread of covid 19
Fri May 01 16:18:33 +0000 2020,organizations like       are leading an effort to protect incarcerated people and correctional facility staff from covid 19 by sending protective gear to jails and prisons across the country  especially those hit hardest by the virus
Fri May 01 16:17:21 +0000 2020,"hi everyone   i m back with my weekly updates of organizations i ve been supporting for covid 19 relief

please check out the following to support yourself and learn more"
Thu Apr 30 20:28:43 +0000 2020,see u there everybody
Wed Apr 29 15:47:05 +0000 2020,yeah  can t win em all man
Wed Apr 29 15:35:37 +0000 2020,yeah i dont know what that is i m old but i steal pics from u guys all the time so I m sorry and thank u lmaoooo
Tue Apr 28 22:40:35 +0000 2020,oh my god i  love u so much  this is the best thing  and you sound and are just as stunning as ever
Tue Apr 28 22:35:11 +0000 2020,love u  pringus
Tue Apr 28 06:08:23 +0000 2020,my sweet
Tue Apr 28 06:01:39 +0000 2020,that s bullshit but i love u  the most  just as long as i m your fav student  bye
Tue Apr 28 01:20:58 +0000 2020,u both sounded fucking phenomenal     i m still recovering from everything i just watched  thank u for existing and for being human masterclasses in musicality and technique
Tue Apr 28 01:14:21 +0000 2020,i worship sherie
Tue Apr 28 01:11:47 +0000 2020,that was so beautiful   i loved every minute so much   thank u and    for having me and for doing this  everyone played and sang so beautifully  love u
Tue Apr 28 00:40:13 +0000 2020,the opening i m crying
Tue Apr 28 00:09:17 +0000 2020,ooooo another of my fav jrb songs
Tue Apr 28 00:07:20 +0000 2020,yeah they did  it has been announced that they were having some technical difficulties and it is moving to 8 30
Tue Apr 28 00:06:00 +0000 2020,OH MY     while we are waiting for the concert to begin may i just   bring some attention to this please  i remember that day   that workshop so clearly and still remember literally word u said to me lmaooo  love u
Mon Apr 27 19:01:56 +0000 2020,excited to be a part of this phenomenal virtual concert and to be performing one of my favorite   songs with him tonight at 8 pm est   see u there
Sun Apr 26 18:33:14 +0000 2020,please leave this in
Sun Apr 26 01:13:08 +0000 2020,me too please
Sun Apr 26 01:12:30 +0000 2020,so in love w this   my day was entirely made omg  thank u for sharing  you re so talented
Sun Apr 26 01:10:55 +0000 2020,thank u
Sun Apr 26 01:07:59 +0000 2020,shit me too  i was like when did we shoot that
Sun Apr 26 01:07:00 +0000 2020,u cute
Sun Apr 26 01:06:23 +0000 2020,love u
Sun Apr 26 01:05:28 +0000 2020,why am i crying  also these edits  people are so talented the fuck
Sun Apr 26 01:04:17 +0000 2020,sooooo cute nooo  do we know what the artist   is
Sat Apr 25 20:46:48 +0000 2020,also   as i announced earlier this week my  allinchallenge is open til may 12  100  of proceeds go to four amazing food organizations
Sat Apr 25 20:46:48 +0000 2020,one fair wage emergency fund is providing cash assistance to service workers and hourly gig workers who were laid off due to COVID 19 and have no safety net
Sat Apr 25 20:46:47 +0000 2020,the national domestic workers alliance coronavirus care fund provides emergency assistance for qualifying home care workers  nannies and house cleaners who are experiencing financial hardship due to COVID 19
Sat Apr 25 20:46:47 +0000 2020,the neighborhood helps neighbors in need by covering rent for families who have lost income as a result of COVID 19  who are not eligible for gov assistance  and who will be evicted if we don t help quickly
Sat Apr 25 20:46:46 +0000 2020,"hello everyone   back with a few more organizations and a little bit about how they re helping during this difficult time  grateful to be able to support their work 

hope you re all staying as safe and healthy as possible  have a great weekend"
Sat Apr 25 16:53:24 +0000 2020,oh   love u so much  u smashed this
Sat Apr 25 06:10:13 +0000 2020,"please please elaborate  

 what show    aaron"
Sat Apr 25 06:08:56 +0000 2020,LIKE   CAN WE GO BACK
Sat Apr 25 06:08:28 +0000 2020,all we do is cry  why
Fri Apr 24 05:03:45 +0000 2020,it s so good  amp  i love u    bite
Fri Apr 24 05:01:19 +0000 2020,so so beautiful
Thu Apr 23 18:07:37 +0000 2020,"what queen   says goes    thank u for nominating me  amp  i am so excited to be participating in the  allinchallenge  100  of proceeds go to four amazing organizations that i personally love and have been supporting   
 
i nominate queen"
Thu Apr 23 09:33:25 +0000 2020,ft me
Thu Apr 23 00:54:21 +0000 2020,it s entirely life changing
Thu Apr 23 00:54:02 +0000 2020,WOW THANK U SO MUCH
Thu Apr 23 00:53:42 +0000 2020,i love u
Thu Apr 23 00:53:24 +0000 2020,don t get me started pls sir
Thu Apr 23 00:48:08 +0000 2020,he s so funny
Thu Apr 23 00:46:34 +0000 2020,love u more
Thu Apr 23 00:46:14 +0000 2020,in the most loving way possible   tell me that isn t stan culture
Wed Apr 22 21:17:00 +0000 2020,rain on me    Chromatica  LG6
Tue Apr 21 21:13:54 +0000 2020,totally take it back  sorry y all  just been working  love u
Tue Apr 21 20:17:19 +0000 2020,take ya time   hurry up
Tue Apr 21 20:15:51 +0000 2020,same  love u
