created_at,text
Fri Jul 03 16:20:20 +0000 2020,  and I had a vision for this project and made it a reality Thank you God for opening the right doors Thank you to everyone else who made this project a reality      
Sat Jun 27 19:25:23 +0000 2020,Thanks for answering the call   Im a proud Canadian Look forward to performance today  
Sat Jun 27 17:59:02 +0000 2020,GlobalGoalUnite concert 2pm est   
Fri Jun 26 14:36:14 +0000 2020,My big brother  just dropped Icry   Proceeds from the record will be donated to   in support of Blackowned businesses  Also watch his performance Sat during   GlobalGoalUnite concert usher icry blacklivesmatter 
Fri Jun 26 14:34:12 +0000 2020,Happy birthday 
Tue Jun 23 00:16:41 +0000 2020,Im joining the GlobalGoalUnite for Our Future concert on June 27th to combat the disproportionate impact COVID19 has on communities of color and call on world leaders to make testing treatments amp vaccines available to everyone everywhere  
Mon Jun 22 00:59:48 +0000 2020,Every claim of sexual abuse should be taken very seriously and this is why my response was needed However this story is factually impossible and that is why I will be working with twitter and authorities to take legal action
Mon Jun 22 00:57:13 +0000 2020,I wont be using mike lowery anymore as an alias
Mon Jun 22 00:56:50 +0000 2020,On march 10th selena left for work and I stayed at the Westin as the receipts clearly showed with my friends nick and john before I left town Once again not at the four seasons We booked it for a couple days to stay for the defjam show but I bailed on the 11th to head back home 
Mon Jun 22 00:45:47 +0000 2020,The Pics I showed of me and Selena march 9 in Austin  should make it clear that we were together that night and went from the venue to our Airbnb and never went to the four seasons This is our airbnb receipt where we crashed with our friends 
Mon Jun 22 00:34:27 +0000 2020,We have also confirmed with the Four Seasons regional manager that I was never on property on the 9th of March 2014 and never a guest on the 9th or the 10th and I welcome all press to inquire with them if needed or wanted
Mon Jun 22 00:33:09 +0000 2020,Furthermore I stayed with Selena and our friends at an airbnb on the 9th and on the 10th stayed at a Westin because our hotel reservation at LÀ Quinta and not the four seasons was messed up Here are the receipts for the hotel on the 10th 
Mon Jun 22 00:31:10 +0000 2020,However I never stayed at the four seasons on the 9th or the 10th This person put another tweet up earlier saying they saw me at the restaurant the following night not the hotel 
Mon Jun 22 00:30:07 +0000 2020,The other reason this story might say I was staying at the four seasons was because a tweet from 2014 on March 10th not the the 9th says they saw me there  This is that tweet 
Mon Jun 22 00:29:02 +0000 2020,Here is article that shows we didnt arrive in Austin that night from Selenas show in Houston until late in the night 
Mon Jun 22 00:27:48 +0000 2020,These photos clearly show me on stage with my assistant sidestage and the other with both of us in the streets of Austin afterwards on March 9 2014 
Mon Jun 22 00:26:37 +0000 2020,This article from 2014 talks about Selena being there with me 
Mon Jun 22 00:25:55 +0000 2020,As her story told I did surprise a crowd in Austin at Sxsw where I appeared on stage with my then assistant side stage and sang a few songs What this person did not know was that I attended that show with my then gf Selena Gomez
Mon Jun 22 00:24:27 +0000 2020,In the past 24 hours a new Twitter appeared that told a story of myself involved with sexual abuse on March 9 2014 in Austin Texas at the Four seasons hotel I want to be clear There is no truth to this story In fact as I will soon show I was never present at that location
Mon Jun 22 00:19:50 +0000 2020,Rumors are rumors but sexual abuse is something I dont take lightly I wanted to speak out right away but out of respect to so many victims who deal with these issues daily I wanted to make sure I gathered the facts before I made any statement
Mon Jun 22 00:15:42 +0000 2020,I dont normally address things as I have dealt with random accusations my entire career but after talking with my wife and team I have decided to speak up on an issue tonight
Thu Jun 18 16:08:27 +0000 2020,This is an action that can make change In 2020 its time to take back the power Join us as we work to register voters across the nation MarchOnBallotBoxes  
Tue Jun 16 16:22:46 +0000 2020,     Thanks
Tue Jun 16 16:17:51 +0000 2020,Wild 
Mon Jun 15 18:55:05 +0000 2020,8 years since Believe  Thanks 
Mon Jun 15 18:54:35 +0000 2020,Congrats class of 2020know it wasnt the way you expected it but this ones for you Have fun  
Thu Jun 11 19:23:21 +0000 2020,Canada We gotta stand up for each other at home and people around the world Join me and  to help ask  to commit to fight coronavirus worldwide with other nations Take action here  GlobalGoalUnite
Thu Jun 11 19:09:34 +0000 2020,Changes or Forever Or
Thu Jun 11 11:41:07 +0000 2020,Thank you 
Thu Jun 11 11:33:31 +0000 2020,This little guy can dance Facts 
Wed Jun 10 03:51:20 +0000 2020,Justin does not have reception where he is so he has asked us to post this tonight so his platform can be used to expose live voter suppression in Georgia tonight    WATCH  
Sat Jun 06 23:49:53 +0000 2020,
Tue Jun 02 16:25:38 +0000 2020,
Tue Jun 02 16:25:32 +0000 2020,
Tue Jun 02 16:25:29 +0000 2020,
Sat May 30 03:42:50 +0000 2020,Thank you  for the conversation
Sat May 30 01:50:55 +0000 2020,Live 
Sun May 24 03:37:09 +0000 2020,In these streets 
Fri May 22 16:54:54 +0000 2020,Make your own StuckwithU merch  
Wed May 20 02:33:26 +0000 2020,Thank you India 
Tue May 19 01:56:46 +0000 2020,Honored to support this cause 
Fri May 15 17:25:30 +0000 2020,I remember performing at Capitals Summertime Ball in 2012 Tune in to BestOfCapitalSTB Saturday 
Fri May 15 17:24:30 +0000 2020,The newest  limited edition flavor is inspired by Yummy  
Thu May 14 23:08:02 +0000 2020,Next 5 hours only and only a certain amount as we cant do too many lol If we run out we run out But we hear you and all for a great cause so lets do it STUCKWITHU 4 new covers signed by me and  all for  
Thu May 14 17:14:34 +0000 2020,Heads up   
Thu May 14 16:45:46 +0000 2020,STUCKWITHU 
Thu May 14 16:04:01 +0000 2020,Who got them Limited supply so not likely to last the whole 24 hours All for a great cause so thank you 
Thu May 14 16:02:49 +0000 2020, 
Thu May 14 16:02:33 +0000 2020, Yep
Thu May 14 16:02:08 +0000 2020, 
Thu May 14 16:01:51 +0000 2020, No idea
Thu May 14 16:01:37 +0000 2020, All good
Thu May 14 16:01:28 +0000 2020, 
