created_at,text
Sat Jul 04 14:35:02 +0000 2020,Our founding promise has never been guaranteed Each generation has been called to bring us a little closer to our highest idealsand historys calling on us right now So lets all do whatever we can to help  expand that promise to all Americans 
Fri Jul 03 16:00:04 +0000 2020,"This holiday weekend lets be safe and smart Its going to take all of us to beat this virus So wear a mask Wash your hands And listen to the experts not the folks trying to divide us Thats the only way well do thistogether
"
Mon Jun 29 14:00:17 +0000 2020,Today Im tipping my hat to all the giants in the Negro Leagues from Satchel Paige to Toni Stone and so many others Their brave example first set 100 years ago changed Americas pastime for the betteropening it up for new generations of players and fans alike 
Fri Jun 26 14:56:57 +0000 2020,Jims courage and persistence helped change America for the better And so did every American who marched organized stood up came outor changed their own heart because they love someone who did Happy anniversary everybody 
Thu Jun 25 19:47:05 +0000 2020,Michelle and I want every kid in Chicago to grow up knowing even better opportunities than we had Were happy to help Chicago Connected reach every kid in the city This is where I found a purpose and a familyand itll always be our home 
Mon Jun 22 16:30:58 +0000 2020,"Im joining my friend  tomorrow to talk about everything thats at stake in this election 

I hope youll join us too This is a critical moment in our historyand all of us have to do our part to build this country into what we know it can be "
Fri Jun 19 16:51:15 +0000 2020,"Juneteenth has never been a celebration of victory or an acceptance of the way things are Its a celebration of progress Its an affirmation that despite the most painful parts of our history change is possibleand there is still so much work to do
"
Thu Jun 18 15:24:24 +0000 2020,and now to stand up for those ideals we have to move forward and elect  and a Democratic Congress that does its job protects DREAMers and finally creates a system thats truly worthy of this nation of immigrants once and for all
Thu Jun 18 15:23:59 +0000 2020,Eight years ago this week we protected young people who were raised as part of our American family from deportation Today Im happy for them their families and all of us We may look different and come from everywhere but what makes us American are our shared ideals
Tue Jun 16 15:30:53 +0000 2020,"And here are two more essays that powerfully express the hope heart grief and rage that are driving this moment of potential change 

Racism Is Terrible Blackness Is Not 

The Trayvon Generation "
Tue Jun 16 15:30:52 +0000 2020,"These Nashville teenagers are representative of the remarkable leadership were seeing from young people across the country and around the world 

"
Tue Jun 16 01:06:17 +0000 2020,Today reminds us that progress might be slow It might take decades But no matter what things might look like today its always possible Happy Pride month everybody 
Thu Jun 11 18:30:59 +0000 2020,"This young generation makes me optimistic about our future By protesting theyre speaking up and shining a light on injusticeand one way we can support them is to vote for people wholl change the laws on every level
"
Thu Jun 11 18:30:58 +0000 2020,"In Columbia Maryland young people wielded social media to connect across boundaries amplify voices and enact some real change  
"
Thu Jun 11 18:30:58 +0000 2020,"This group of Nashville teens led a peaceful march with tens of thousands of people in their community 
"
Thu Jun 11 18:30:57 +0000 2020,Over the past few weeks weve seen young people in every corner of the country step up and become leaders Through organization and mobilization theyre showing us how we can sustain this momentum to bring about real change 
Wed Jun 10 15:10:15 +0000 2020,Its too early to tell if its permanent but the changes brought on by COVID19 are forcing many of us to reflect on what really matters in our lives 
Sun Jun 07 23:25:01 +0000 2020,"As has always been true at key moments in history its going to depend on young people to go out there and rewrite what is possible

I couldnt be prouder of all the young people leading that change right now Heres my advice for the Class of 2020 "
Sat Jun 06 00:37:08 +0000 2020,Weve seen the power that our voices have when we speak out about injusticebut we also know the toll that it takes on our mental health Today I talked to  Bryan Stevenson and  activists about ways to keep our mental health a priority at this time 
