Mon Jul 06 19:41:30 +0000 2020,@tywrent i liked this before u tweeted it,@tywrent i liked this before u tweeted it
Sun Jul 05 18:54:03 +0000 2020,@universbutera miss u all way more. love u love u love u.,@universbutera miss u all way more. love u love u love u.
Wed Jul 01 22:10:12 +0000 2020,"happy july 🖤 vote 
https://t.co/B7cu7iRuQN https://t.co/pAzoOzHyid","happy july  vote 
 "
Mon Jun 29 15:32:21 +0000 2020,"another reminder 🖤 colorado, you can still register to vote if you haven’t already @headcountorg https://t.co/B7cu7iRuQN https://t.co/W5hgIOpqGF","another reminder  colorado, you can still register to vote if you haven’t already @headcountorg  "
Sun Jun 28 16:46:30 +0000 2020,"outeverythinged the original. 🖤
truly the best, most insane surprise ever. love u so much ! please post in my head next. https://t.co/3I8vbfPvl3","outeverythinged the original. 
truly the best, most insane surprise ever. love u so much ! please post in my head next. "
Fri Jun 26 23:15:53 +0000 2020,thanks for the birthday wishes :) https://t.co/OsmI41nkel,thanks for the birthday wishes :) 
Fri Jun 26 03:18:33 +0000 2020,almost 27 :) https://t.co/LeqR75oa9n,almost 27 :) 
Tue Jun 23 19:39:54 +0000 2020,"sent some food and coffee trucks for everyone waiting in line ! please pull up, enjoy and use your voice today we need u 🖤 @kyexpocenter https://t.co/5S0HNraXSb","sent some food and coffee trucks for everyone waiting in line ! please pull up, enjoy and use your voice today we need u  @kyexpocenter "
Mon Jun 22 21:05:56 +0000 2020,"reminder 🖤 @headcountorg 
https://t.co/B7cu7iRuQN https://t.co/o5NNYN9p0b","reminder  @headcountorg 
 "
Sun Jun 21 17:46:04 +0000 2020,@joangrande i love u,@joangrande i love u
Sat Jun 20 20:07:40 +0000 2020,🖤 https://t.co/kgfJAMRHdY 🖤 https://t.co/U92OBjFPLT,   
Sat Jun 20 18:29:28 +0000 2020,two years 🖤 love u 💡 https://t.co/u3px8pLv5E,two years  love u  
Fri Jun 19 04:16:48 +0000 2020,i love u and this song so much 🪐 #experience out now !!!! a huge congratulations to my bestie forever @VictoriaMonet https://t.co/4rUOPfZ7eS,i love u and this song so much 🪐 #experience out now !!!! a huge congratulations to my bestie forever @VictoriaMonet 
Thu Jun 18 16:28:07 +0000 2020,join us as we work to register voters across the nation 🖤 @marchonballots @headcountorg @blackvotersmtr https://t.co/rmMZ8HXJ35 https://t.co/rOuaMhEMQF,join us as we work to register voters across the nation  @marchonballots @headcountorg @blackvotersmtr  
Thu Jun 18 16:23:24 +0000 2020,sending u all so much love https://t.co/BCEI7voWEz,sending u all so much love 
Tue Jun 09 19:05:26 +0000 2020,:) https://t.co/UOwEwkWUgw,:) 
Tue Jun 09 17:07:05 +0000 2020,primaries today @headcountorg #vote https://t.co/B7cu7iRuQN https://t.co/5Fj2387ZR0,primaries today @headcountorg #vote  
Mon Jun 08 20:33:08 +0000 2020,los angeles ! @mayorofla #peoplesbudgetla #defundthepolice 🖤 https://t.co/7sA4RJ0fUO,los angeles ! @mayorofla #peoplesbudgetla #defundthepolice  
Mon Jun 08 18:03:49 +0000 2020,"new yorkers ! please support the repeal of 50 A, a new york law that blocks crucial information in the search for law enforcement accountability: https://t.co/hMm9nQPEq7 🖤 

#repeal50a @nygovcuomo @andreascousins @carlheastie","new yorkers ! please support the repeal of 50 A, a new york law that blocks crucial information in the search for law enforcement accountability:   

#repeal50a @nygovcuomo @andreascousins @carlheastie"
Sat Jun 06 16:15:36 +0000 2020,"and of course please continue to register yourselves and your friends and loved ones to vote ! 

@headcountorg
https://t.co/B7cu7iRuQN","and of course please continue to register yourselves and your friends and loved ones to vote ! 

@headcountorg
"
Sat Jun 06 16:15:36 +0000 2020,here’s an incredible link tree of petitions and other resources made by @emanisblazed 🤍 https://t.co/UrIf3NU09f,here’s an incredible link tree of petitions and other resources made by @emanisblazed 🤍 
Sat Jun 06 16:15:35 +0000 2020,"here’s a growing list of black-owned brands to support and purchase from 🤍 

https://t.co/YNK29roCnQ","here’s a growing list of black-owned brands to support and purchase from 🤍 

"
Sat Jun 06 16:15:35 +0000 2020,"the @marshallproj is a nonprofit news organization covering police accountability and exposing failures / examining solutions for the justice system 

https://t.co/ErzKQLdQtI","the @marshallproj is a nonprofit news organization covering police accountability and exposing failures / examining solutions for the justice system 

"
Sat Jun 06 16:15:35 +0000 2020,"the @lgbtq_freedom fund is a black-run bail fund assisting members of the community who have been arrested during the peaceful protests 

https://t.co/EfJB9doAen","the @lgbtq_freedom fund is a black-run bail fund assisting members of the community who have been arrested during the peaceful protests 

"
Sat Jun 06 16:15:34 +0000 2020,"black voters matter fund is expanding black voter engagement &amp; increasing progressive power 

@blackvotersmtr 
https://t.co/MNTzSttUsE","black voters matter fund is expanding black voter engagement &amp; increasing progressive power 

@blackvotersmtr 
"
Sat Jun 06 16:15:34 +0000 2020,"#8cantwait is a list of 8 policies to help reduce police violence that can be changed immediately to make our communities safer

link to pre-written emails addressed to your respective cities: https://t.co/r1CWDqyXfY","#8cantwait is a list of 8 policies to help reduce police violence that can be changed immediately to make our communities safer

link to pre-written emails addressed to your respective cities: "
Sat Jun 06 16:15:34 +0000 2020,"the @blhfoundation is offering free virtual therapy for black americans who need help right now 

https://t.co/gxYDU3lh49","the @blhfoundation is offering free virtual therapy for black americans who need help right now 

"
Sat Jun 06 16:15:33 +0000 2020,https://t.co/JGLK3uDFEu,
Fri Jun 05 16:58:07 +0000 2020,"we demand #justiceforbreonna 
@govandybeshear @djaycameron @danielcameronag @repjohnyarmuth @randpaul @senatemajldr 
#sayhername https://t.co/GzI25k6Bv3","we demand #justiceforbreonna 
@govandybeshear @djaycameron @danielcameronag @repjohnyarmuth @randpaul @senatemajldr 
#sayhername "
